<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<CLOSE>,<VOLUME>
DANUBIUS,0,20110103,090029,4500,50
ECONET,0,20110103,090029,90,20
FOTEX,0,20110103,090029,383,100
FOTEX,0,20110103,090029,383,262
FOTEX,0,20110103,090029,383,138
GENESIS,0,20110103,090029,177,30
HUMET,0,20110103,090029,9,17
HUMET,0,20110103,090029,9,5483
HUMET,0,20110103,090029,9,1000
HUMET,0,20110103,090029,9,1465
HUMET,0,20110103,090029,9,52
HUMET,0,20110103,090029,9,9148
KEG,0,20110103,090029,140,400
KEG,0,20110103,090029,140,1000
MOL,0,20110103,090029,20805,15
MOL,0,20110103,090029,20805,6
MOL,0,20110103,090029,20805,5
MOL,0,20110103,090029,20805,9
MOL,0,20110103,090029,20805,22
MOL,0,20110103,090029,20805,39
MOL,0,20110103,090029,20805,11
MOL,0,20110103,090029,20805,9
MOL,0,20110103,090029,20805,50
MOL,0,20110103,090029,20805,23
MOL,0,20110103,090029,20805,8
MOL,0,20110103,090029,20805,5
MTELEKOM,0,20110103,090029,517,110
MTELEKOM,0,20110103,090029,517,1000
MTELEKOM,0,20110103,090029,517,421
MTELEKOM,0,20110103,090029,517,279
MTELEKOM,0,20110103,090029,517,110
MTELEKOM,0,20110103,090029,517,195
MTELEKOM,0,20110103,090029,517,216
MTELEKOM,0,20110103,090029,517,10
MTELEKOM,0,20110103,090029,517,64
MTELEKOM,0,20110103,090029,517,436
MTELEKOM,0,20110103,090029,517,564
MTELEKOM,0,20110103,090029,517,1436
MTELEKOM,0,20110103,090029,517,100
MTELEKOM,0,20110103,090029,517,1000
OTP,0,20110103,090029,5089,400
OTP,0,20110103,090029,5089,1521
OTP,0,20110103,090029,5089,100
OTP,0,20110103,090029,5089,10
OTP,0,20110103,090029,5089,168
OTP,0,20110103,090029,5089,49
OTP,0,20110103,090029,5089,50
OTP,0,20110103,090029,5089,5
OTP,0,20110103,090029,5089,5
OTP,0,20110103,090029,5089,100
OTP,0,20110103,090029,5089,200
OTP,0,20110103,090029,5089,800
OTP,0,20110103,090029,5089,40
OTP,0,20110103,090029,5089,20
OTP,0,20110103,090029,5089,50
OTP,0,20110103,090029,5089,30
OTP,0,20110103,090029,5089,40
OTP,0,20110103,090029,5089,50
OTP,0,20110103,090029,5089,500
OTP,0,20110103,090029,5089,166
OTP,0,20110103,090029,5089,500
OTP,0,20110103,090029,5089,1000
OTP,0,20110103,090029,5089,1167
OTP,0,20110103,090029,5089,3833
OTP,0,20110103,090029,5089,167
OTP,0,20110103,090029,5089,25
OTP,0,20110103,090029,5089,20
OTP,0,20110103,090029,5089,105
OTP,0,20110103,090029,5089,95
OTP,0,20110103,090029,5089,10
PANNERGY,0,20110103,090029,904,55
PANNERGY,0,20110103,090029,904,10
PANNERGY,0,20110103,090029,904,25
RFV,0,20110103,090029,8500,5
RICHTER,0,20110103,090029,42370,18
RICHTER,0,20110103,090029,42370,15
RICHTER,0,20110103,090029,42370,11
RICHTER,0,20110103,090029,42370,18
RICHTER,0,20110103,090029,42370,3
RICHTER,0,20110103,090029,42370,2
RICHTER,0,20110103,090029,42370,9
RICHTER,0,20110103,090029,42370,7
RICHTER,0,20110103,090029,42370,14
RICHTER,0,20110103,090029,42370,7
RICHTER,0,20110103,090029,42370,7
RICHTER,0,20110103,090029,42370,18
RICHTER,0,20110103,090029,42370,18
RICHTER,0,20110103,090029,42370,7
RICHTER,0,20110103,090029,42370,18
RICHTER,0,20110103,090029,42370,14
RICHTER,0,20110103,090029,42370,1
RICHTER,0,20110103,090029,42370,3
RICHTER,0,20110103,090029,42370,3
RICHTER,0,20110103,090029,42370,2
RICHTER,0,20110103,090029,42370,12
RICHTER,0,20110103,090029,42370,11
RICHTER,0,20110103,090029,42370,8
RICHTER,0,20110103,090029,42370,7
RICHTER,0,20110103,090029,42370,3
RICHTER,0,20110103,090029,42370,18
RICHTER,0,20110103,090029,42370,10
BUX1112,0,20110103,090044,21995,1
BUX1112,0,20110103,090044,21995,3
BUX1112,0,20110103,090044,21995,2
BUX1112,0,20110103,090044,21995,6
BUX1112,0,20110103,090044,21995,1
BUX1112,0,20110103,090044,21995,8
BUX1112,0,20110103,090044,21995,9
BUX1112,0,20110103,090044,21995,11
BUX1112,0,20110103,090044,21995,1
BUX1112,0,20110103,090044,21995,4
BUX1112,0,20110103,090044,21995,1
BUX1112,0,20110103,090044,21995,8
BUX1112,0,20110103,090044,21995,15
BUX1112,0,20110103,090044,21995,2
BUX1112,0,20110103,090044,21995,2
BUX1112,0,20110103,090044,21995,5
BUX1112,0,20110103,090044,21995,2
BUX1112,0,20110103,090044,21995,2
BUX1112,0,20110103,090044,21995,8
BUX1112,0,20110103,090044,21995,14
BUX1112,0,20110103,090044,21995,10
BUX1112,0,20110103,090044,21995,9
BUX1112,0,20110103,090044,21995,1
PANNERGY,0,20110103,090202,904,248
ECONET,0,20110103,090206,90,1309
ECONET,0,20110103,090206,90,3000
ECONET,0,20110103,090206,90,3800
ECONET,0,20110103,090206,90,650
ECONET,0,20110103,090206,90,600
OTP,0,20110103,090206,5080,375
MOL,0,20110103,090209,20805,14
MOL,0,20110103,090209,20805,5
MTELEKOM,0,20110103,090211,518,100
OTP,0,20110103,090212,5080,50
OTP,0,20110103,090214,5080,30
FHB,0,20110103,090214,959,200
MTELEKOM,0,20110103,090225,518,90
MTELEKOM,0,20110103,090225,518,180
MTELEKOM,0,20110103,090225,518,30
MTELEKOM,0,20110103,090233,518,110
OTP,0,20110103,090238,5080,300
MOL,0,20110103,090240,20805,45
MOL,0,20110103,090240,20805,55
OTP,0,20110103,090244,5080,196
OTP,0,20110103,090249,5080,100
OTP,0,20110103,090258,5080,2
MTELEKOM,0,20110103,090300,519,30
MTELEKOM,0,20110103,090300,519,61
MTELEKOM,0,20110103,090300,519,139
MTELEKOM,0,20110103,090300,519,1000
MTELEKOM,0,20110103,090300,519,303
MTELEKOM,0,20110103,090300,520,8
OTP,0,20110103,090300,5068,1
OTP,0,20110103,090301,5068,33
RICHTER,0,20110103,090301,42370,15
OTP,0,20110103,090303,5080,400
RICHTER,0,20110103,090303,42370,3
RICHTER,0,20110103,090304,42370,1
RICHTER,0,20110103,090304,42300,5
RICHTER,0,20110103,090304,42300,7
RICHTER,0,20110103,090304,42300,1
MTELEKOM,0,20110103,090305,520,1599
MOL,0,20110103,090305,20895,65
OTP,0,20110103,090305,5080,446
MTELEKOM,0,20110103,090306,520,221
RICHTER,0,20110103,090306,42450,11
RICHTER,0,20110103,090306,42450,3
RICHTER,0,20110103,090308,42450,5
MTELEKOM,0,20110103,090310,520,344
OTP,0,20110103,090310,5068,14
OTP,0,20110103,090311,5068,152
OTP,0,20110103,090311,5066,70
OTP,0,20110103,090311,5065,100
OTP,0,20110103,090311,5062,500
OTP,0,20110103,090311,5061,40
OTP,0,20110103,090311,5061,400
OTP,0,20110103,090311,5061,390
OTP,0,20110103,090311,5061,1500
OTP,0,20110103,090311,5061,160
OTP,0,20110103,090311,5060,2570
OTP,0,20110103,090311,5060,1000
MOL,0,20110103,090311,20810,100
MOL,0,20110103,090311,20805,145
MOL,0,20110103,090311,20805,10
MOL,0,20110103,090311,20805,10
MOL,0,20110103,090311,20805,100
MOL,0,20110103,090311,20800,30
MOL,0,20110103,090311,20800,105
RICHTER,0,20110103,090315,42495,1
PANNUNION,0,20110103,090316,149,11
OTP,0,20110103,090316,5056,20
MOL,0,20110103,090319,20800,81
OTP,0,20110103,090323,5060,14
OTP,0,20110103,090323,5060,506
OTP,0,20110103,090323,5060,50
OTP,0,20110103,090325,5060,201
MTELEKOM,0,20110103,090328,520,828
MTELEKOM,0,20110103,090328,520,573
MTELEKOM,0,20110103,090328,520,1000
MTELEKOM,0,20110103,090328,520,100
MTELEKOM,0,20110103,090328,520,4150
OTP,0,20110103,090332,5060,70
OTP,0,20110103,090335,5070,20
MTELEKOM,0,20110103,090336,521,150
MTELEKOM,0,20110103,090336,521,200
MTELEKOM,0,20110103,090336,521,770
MTELEKOM,0,20110103,090336,521,179
MTELEKOM,0,20110103,090336,520,653
OTP,0,20110103,090337,5070,500
RICHTER,0,20110103,090347,42495,25
RICHTER,0,20110103,090348,42300,9
RICHTER,0,20110103,090359,42300,18
MOL,0,20110103,090401,20880,5
MOL,0,20110103,090401,20880,1900
MOL,0,20110103,090401,20880,32
MOL,0,20110103,090401,20895,20
MOL,0,20110103,090401,20900,20
MOL,0,20110103,090401,20900,20
MOL,0,20110103,090401,20900,3
RICHTER,0,20110103,090401,42300,7
OTP,0,20110103,090404,5070,1700
OTP,0,20110103,090405,5062,200
MOL,0,20110103,090405,20900,217
MOL,0,20110103,090407,20800,164
MTELEKOM,0,20110103,090410,521,6
MTELEKOM,0,20110103,090410,521,494
OTP,0,20110103,090416,5061,100
OTP,0,20110103,090416,5061,31
MTELEKOM,0,20110103,090418,521,56
MTELEKOM,0,20110103,090418,521,444
MTELEKOM,0,20110103,090419,521,532
MTELEKOM,0,20110103,090420,521,2024
MTELEKOM,0,20110103,090420,521,376
OTP,0,20110103,090420,5061,369
OTP,0,20110103,090420,5060,159
OTP,0,20110103,090420,5060,1220
OTP,0,20110103,090420,5060,500
OTP,0,20110103,090420,5060,20
OTP,0,20110103,090431,5060,1940
OTP,0,20110103,090431,5055,50
OTP,0,20110103,090438,5054,100
OTP,0,20110103,090442,5053,200
OTP,0,20110103,090442,5051,1672
OTP,0,20110103,090445,5051,704
OTP,0,20110103,090451,5053,400
OTP,0,20110103,090451,5052,200
OTP,0,20110103,090451,5052,125
OTP,0,20110103,090451,5051,2624
OTP,0,20110103,090451,5051,1651
OTP,0,20110103,090453,5051,527
OTP,0,20110103,090456,5051,215
RICHTER,0,20110103,090458,42300,25
RICHTER,0,20110103,090458,42265,35
RICHTER,0,20110103,090458,42250,4
RICHTER,0,20110103,090458,42250,100
RICHTER,0,20110103,090458,42240,30
RICHTER,0,20110103,090458,42210,60
RICHTER,0,20110103,090458,42200,15
RICHTER,0,20110103,090458,42200,5
RICHTER,0,20110103,090458,42200,25
MTELEKOM,0,20110103,090459,521,400
RICHTER,0,20110103,090500,42200,10
RICHTER,0,20110103,090501,42195,1
BUX1112,0,20110103,090501,21972,1
MTELEKOM,0,20110103,090501,521,500
MTELEKOM,0,20110103,090501,521,500
RICHTER,0,20110103,090502,42200,30
OTP,0,20110103,090503,5051,107
OTP,0,20110103,090503,5051,70
RICHTER,0,20110103,090503,42195,4
RICHTER,0,20110103,090505,42200,50
BUX1112,0,20110103,090508,21972,3
BUX1112,0,20110103,090508,21971,5
BUX1112,0,20110103,090508,21970,2
RICHTER,0,20110103,090509,42150,1
OTP,0,20110103,090512,5051,230
MTELEKOM,0,20110103,090513,521,150
OTP,0,20110103,090517,5055,100
MTELEKOM,0,20110103,090532,521,150
MTELEKOM,0,20110103,090532,521,30
EGIS,0,20110103,090536,20250,4
EGIS,0,20110103,090536,20260,3
EGIS,0,20110103,090536,20260,3
EGIS,0,20110103,090536,20300,145
MTELEKOM,0,20110103,090538,521,150
OTP,0,20110103,090538,5055,200
MTELEKOM,0,20110103,090542,522,120
MTELEKOM,0,20110103,090542,522,310
MTELEKOM,0,20110103,090542,522,260
MTELEKOM,0,20110103,090542,522,400
MTELEKOM,0,20110103,090542,522,100
MTELEKOM,0,20110103,090542,523,910
MTELEKOM,0,20110103,090542,523,300
MTELEKOM,0,20110103,090544,523,10
MTELEKOM,0,20110103,090547,522,947
RICHTER,0,20110103,090548,42110,10
RICHTER,0,20110103,090548,42105,200
RICHTER,0,20110103,090548,42105,10
MTELEKOM,0,20110103,090548,523,781
MTELEKOM,0,20110103,090550,522,53
EGIS,0,20110103,090606,20300,30
OTP,0,20110103,090608,5062,422
RICHTER,0,20110103,090611,42060,11
RICHTER,0,20110103,090611,42060,12
EGIS,0,20110103,090613,20300,10
RICHTER,0,20110103,090613,42060,2
RICHTER,0,20110103,090613,42060,36
RICHTER,0,20110103,090614,42060,14
OTP,0,20110103,090616,5066,53
MTELEKOM,0,20110103,090619,522,500
MTELEKOM,0,20110103,090619,522,500
BUX1112,0,20110103,090627,21970,4
RICHTER,0,20110103,090631,42055,18
RICHTER,0,20110103,090633,42055,35
RICHTER,0,20110103,090634,42055,42
RICHTER,0,20110103,090634,42055,27
RICHTER,0,20110103,090636,42055,8
RICHTER,0,20110103,090639,42055,2
OTP,0,20110103,090643,5068,452
OTP,0,20110103,090643,5068,672
OTP,0,20110103,090643,5069,124
OTP,0,20110103,090643,5070,1500
BUX1112,0,20110103,090646,21970.5,1
RICHTER,0,20110103,090651,42055,9
RICHTER,0,20110103,090651,42060,17
EGIS,0,20110103,090700,20300,20
RICHTER,0,20110103,090702,42050,4
EGIS,0,20110103,090707,20300,10
OTP,0,20110103,090717,5075,3
OTP,0,20110103,090717,5078,17
OTP,0,20110103,090717,5078,600
OTP,0,20110103,090717,5079,1200
OTP,0,20110103,090717,5080,500
OTP,0,20110103,090717,5080,2680
RICHTER,0,20110103,090722,42100,86
OTP,0,20110103,090731,5080,80
OTP,0,20110103,090734,5080,240
BUX1112,0,20110103,090740,21990,1
OTP,0,20110103,090802,5085,100
MTELEKOM,0,20110103,090804,522,123
OTP,0,20110103,090805,5088,100
OTP,0,20110103,090805,5088,176
RICHTER,0,20110103,090805,42295,13
MTELEKOM,0,20110103,090806,522,87
MTELEKOM,0,20110103,090806,522,980
BUX1112,0,20110103,090809,21990,3
BUX1112,0,20110103,090809,21990,22
MOL,0,20110103,090810,20885,20
OTP,0,20110103,090813,5088,224
MOL,0,20110103,090817,20930,20
MOL,0,20110103,090820,20940,66
BUX1112,0,20110103,090835,21989,1
OTP,0,20110103,090844,5082,200
OTP,0,20110103,090854,5082,488
OTP,0,20110103,090857,5082,50
OTP,0,20110103,090857,5085,100
OTP,0,20110103,090857,5085,350
OTP,0,20110103,090918,5085,50
OTP,0,20110103,090918,5089,50
OTP,0,20110103,090918,5089,16
OTP,0,20110103,090918,5090,30
OTP,0,20110103,090918,5090,18
OTP,0,20110103,090918,5090,11
OTP,0,20110103,090918,5090,17
BUX1112,0,20110103,090924,21990,1
BUX1112,0,20110103,090924,21993,1
BUX1112,0,20110103,090924,21995,1
BUX1112,0,20110103,090924,21998,3
OTP,0,20110103,090926,5090,22
OTP,0,20110103,090926,5090,400
BUX1112,0,20110103,090929,21998,1
BUX1112,0,20110103,090929,22000,24
OTP,0,20110103,090929,5085,50
BUX1112,0,20110103,090930,22000,16
BUX1112,0,20110103,090930,22000,5
BUX1112,0,20110103,090930,22000,29
BUX1112,0,20110103,090936,21989,1
MTELEKOM,0,20110103,090937,522,2900
MTELEKOM,0,20110103,090938,522,120
MTELEKOM,0,20110103,090938,522,200
MTELEKOM,0,20110103,090938,522,200
MTELEKOM,0,20110103,090938,522,547
OTP,0,20110103,090941,5091,282
MTELEKOM,0,20110103,090941,521,841
BUX1112,0,20110103,090943,22000,10
BUX1112,0,20110103,090943,22000,5
BUX1112,0,20110103,090946,22000,6
OTP,0,20110103,090947,5095,50
OTP,0,20110103,090947,5095,90
OTP,0,20110103,090947,5095,300
OTP,0,20110103,090947,5095,30
BUX1112,0,20110103,090949,22030,1
MOL,0,20110103,090950,20885,46
MOL,0,20110103,090950,20885,74
MOL,0,20110103,090950,20810,55
MOL,0,20110103,090950,20805,45
OTP,0,20110103,090950,5095,506
RICHTER,0,20110103,090954,42200,18
OTP,0,20110103,090957,5096,100
OTP,0,20110103,091000,5095,200
OTP,0,20110103,091017,5096,200
OTP,0,20110103,091017,5097,20
OTP,0,20110103,091017,5097,2000
OTP,0,20110103,091022,5098,10
OTP,0,20110103,091022,5098,1085
OTP,0,20110103,091022,5098,300
OTP,0,20110103,091022,5098,23
OTP,0,20110103,091022,5098,160
BUX1112,0,20110103,091026,22040,1
BUX1112,0,20110103,091026,22040,1
BUX1112,0,20110103,091026,22041,1
MOL,0,20110103,091035,20920,162
MOL,0,20110103,091037,20850,10
MOL,0,20110103,091037,20850,42
OTP,0,20110103,091044,5097,84
BUX1112,0,20110103,091044,22045,1
BUX1112,0,20110103,091044,22047,4
OTP,0,20110103,091046,5092,100
OTP,0,20110103,091049,5092,40
OTP,0,20110103,091054,5091,253
OTP,0,20110103,091059,5091,465
MOL,0,20110103,091103,20855,100
OTP,0,20110103,091104,5090,1
BUX1112,0,20110103,091108,22047,3
BUX1112,0,20110103,091108,22047.5,2
OTP,0,20110103,091109,5090,134
OTP,0,20110103,091109,5095,200
OTP,0,20110103,091109,5095,400
OTP,0,20110103,091109,5095,266
OTP,0,20110103,091113,5094,450
OTP,0,20110103,091113,5095,134
BUX1112,0,20110103,091115,22045,5
OTP,0,20110103,091115,5095,16
OTP,0,20110103,091123,5090,100
OTP,0,20110103,091133,5093,776
MTELEKOM,0,20110103,091133,521,848
FHB,0,20110103,091134,963,100
OTP,0,20110103,091136,5091,230
OTP,0,20110103,091136,5095,200
OTP,0,20110103,091136,5095,500
OTP,0,20110103,091138,5095,506
OTP,0,20110103,091142,5095,64
MTELEKOM,0,20110103,091147,521,150
OTP,0,20110103,091148,5085,30
OTP,0,20110103,091150,5094,311
OTP,0,20110103,091152,5095,200
ANY,0,20110103,091156,730,3085
OTP,0,20110103,091158,5095,75
OTP,0,20110103,091200,5095,75
OTP,0,20110103,091200,5096,325
BUX1112,0,20110103,091206,22040,10
MOL,0,20110103,091212,20925,1
MOL,0,20110103,091219,20900,106
DANUBIUS,0,20110103,091229,4500,15
MOL,0,20110103,091233,20925,22
MOL,0,20110103,091235,20925,32
OTP,0,20110103,091235,5095,200
OTP,0,20110103,091235,5095,1
OTP,0,20110103,091238,5086,19
DANUBIUS,0,20110103,091239,4500,540
MOL,0,20110103,091245,20920,14
OTP,0,20110103,091253,5087,241
RICHTER,0,20110103,091255,42230,17
OTP,0,20110103,091256,5087,27
OTP,0,20110103,091256,5086,13
BUX1112,0,20110103,091256,22040,2
MTELEKOM,0,20110103,091305,522,1066
RICHTER,0,20110103,091305,42250,13
RICHTER,0,20110103,091306,42230,8
OTP,0,20110103,091310,5090,200
MOL,0,20110103,091310,20935,50
FHB,0,20110103,091312,964,105
FHB,0,20110103,091312,964,100
FHB,0,20110103,091312,964,760
FHB,0,20110103,091312,965,100
FHB,0,20110103,091312,967,130
FHB,0,20110103,091312,967,100
FHB,0,20110103,091312,968,50
FHB,0,20110103,091312,968,269
FHB,0,20110103,091312,968,70
FHB,0,20110103,091312,969,381
RICHTER,0,20110103,091312,42210,5
OTP,0,20110103,091315,5095,69
OTP,0,20110103,091315,5095,12
MOL,0,20110103,091320,20940,15
MOL,0,20110103,091320,20940,19
MOL,0,20110103,091320,20940,7
OTP,0,20110103,091329,5095,288
OTP,0,20110103,091329,5095,230
OTP,0,20110103,091329,5095,720
OTP,0,20110103,091329,5095,100
OTP,0,20110103,091329,5096,375
OTP,0,20110103,091329,5096,2000
OTP,0,20110103,091329,5097,20
OTP,0,20110103,091329,5099,13
OTP,0,20110103,091329,5099,47
OTP,0,20110103,091329,5099,39
OTP,0,20110103,091329,5099,2168
OTP,0,20110103,091334,5090,100
OTP,0,20110103,091336,5090,1000
MTELEKOM,0,20110103,091341,522,800
OTP,0,20110103,091353,5087,90
MTELEKOM,0,20110103,091358,522,987
MTELEKOM,0,20110103,091358,522,353
OTP,0,20110103,091359,5094,60
MTELEKOM,0,20110103,091359,522,59
OTP,0,20110103,091400,5099,500
OTP,0,20110103,091401,5099,332
OTP,0,20110103,091401,5100,177
OTP,0,20110103,091401,5100,110
OTP,0,20110103,091401,5100,204
OTP,0,20110103,091401,5100,50
OTP,0,20110103,091401,5100,150
OTP,0,20110103,091401,5100,250
OTP,0,20110103,091401,5100,50
OTP,0,20110103,091401,5100,20
OTP,0,20110103,091401,5100,3
OTP,0,20110103,091401,5100,2654
OTP,0,20110103,091401,5100,346
OTP,0,20110103,091401,5100,454
FOTEX,0,20110103,091403,382,1015
FOTEX,0,20110103,091403,383,610
FOTEX,0,20110103,091403,384,100
FOTEX,0,20110103,091403,384,265
FOTEX,0,20110103,091403,385,9
FOTEX,0,20110103,091403,385,100
FOTEX,0,20110103,091403,386,1000
OTP,0,20110103,091406,5100,741
OTP,0,20110103,091406,5100,60
MOL,0,20110103,091407,20940,8
MOL,0,20110103,091407,20940,46
MOL,0,20110103,091407,20940,30
MOL,0,20110103,091407,20940,50
BUX1112,0,20110103,091407,22030,6
BUX1112,0,20110103,091408,22030,14
BUX1112,0,20110103,091408,22039,1
BUX1112,0,20110103,091408,22040,10
OTP,0,20110103,091410,5095,1000
OTP,0,20110103,091410,5099,20
OTP,0,20110103,091410,5099,10
FOTEX,0,20110103,091413,386,500
OTP,0,20110103,091426,5109,137
OTP,0,20110103,091427,5101,200
MTELEKOM,0,20110103,091432,522,1
GSPARK,0,20110103,091444,772,8000
MOL,0,20110103,091451,20940,12
MOL,0,20110103,091451,20940,134
MOL,0,20110103,091451,20900,19
EBGOLD,0,20110103,091458,3000,500
MTELEKOM,0,20110103,091508,522,87
MTELEKOM,0,20110103,091508,522,367
MTELEKOM,0,20110103,091508,522,1150
RICHTER,0,20110103,091521,42200,18
BUX1112,0,20110103,091527,22040,2
OTP,0,20110103,091531,5105,147
OTP,0,20110103,091540,5108,90
OTP,0,20110103,091556,5110,50
OTP,0,20110103,091556,5110,50
